sys;c1;c2;T;x1;x1_calc;x1_approx;phase;ALDS
6;Acetonitrile;Cyclohexane;278.4492263;0.020287778;0.030533159;0.030710589;L1;40.87946413
6;Acetonitrile;Cyclohexane;291.24575;0.030870279;0.045136995;0.045436764;L1;37.99083212
6;Acetonitrile;Cyclohexane;293.14537;0.047992455;0.04768862;0.047897338;L1;0.635101529
6;Acetonitrile;Cyclohexane;294.15;0.0465;0.049081536;0.049198633;L1;5.403059921
6;Acetonitrile;Cyclohexane;295.104978;0.0396;0.050434047;0.050435615;L1;24.18373628
6;Acetonitrile;Cyclohexane;297.9944;0.044;0.054699315;0.054990912;L1;21.76615561
6;Acetonitrile;Cyclohexane;297.9944;0.044;0.054699315;0.054990912;L1;21.76615561
6;Acetonitrile;Cyclohexane;297.9944;0.044;0.054699315;0.054990912;L1;21.76615561
6;Acetonitrile;Cyclohexane;298.14437;0.044;0.054927943;0.055227543;L1;22.1832571
6;Acetonitrile;Cyclohexane;298.14437;0.044;0.054927943;0.055227543;L1;22.1832571
6;Acetonitrile;Cyclohexane;298.14437;0.044;0.054927943;0.055227543;L1;22.1832571
6;Acetonitrile;Cyclohexane;298.484302;0.040158243;0.055448861;0.055763906;L1;32.26334448
6;Acetonitrile;Cyclohexane;303.143055;0.080583938;0.062974748;0.063114744;L1;24.65655239
6;Acetonitrile;Cyclohexane;303.332998;0.055;0.063297291;0.063414447;L1;14.05093452
6;Acetonitrile;Cyclohexane;306.931918;0.059816799;0.069651297;0.069966783;L1;15.22147824
6;Acetonitrile;Cyclohexane;307.49175;0.059045933;0.070682059;0.071027792;L1;17.98761055
6;Acetonitrile;Cyclohexane;312.9901;0.0787;0.081442311;0.081448413;L1;3.425177564
6;Acetonitrile;Cyclohexane;313.140055;0.0787;0.081752486;0.081772181;L1;3.805305892
6;Acetonitrile;Cyclohexane;313.140055;0.095538177;0.081752486;0.081772181;L1;15.58297124
6;Acetonitrile;Cyclohexane;313.140055;0.0787;0.081752486;0.081772181;L1;3.805305892
6;Acetonitrile;Cyclohexane;313.310004;0.076;0.08210512;0.0821545;L1;7.726703426
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.092628028;0.093016874;L1;0.936965883
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.092628028;0.093016874;L1;0.936965883
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.092628028;0.093016874;L1;0.936965883
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.092628028;0.093016874;L1;0.936965883
6;Acetonitrile;Cyclohexane;322.497247;0.11;0.103005286;0.103162728;L1;6.570005487
6;Acetonitrile;Cyclohexane;322.9871;0.1184;0.10422636;0.104457491;L1;12.75036488
6;Acetonitrile;Cyclohexane;324.9505108;0.112260742;0.109235958;0.109647114;L1;2.731391986
6;Acetonitrile;Cyclohexane;329.3771824;0.133679505;0.121234179;0.121347547;L1;9.772114054
6;Acetonitrile;Cyclohexane;330.4849;0.155;0.124395634;0.124507387;L1;21.99580305
6;Acetonitrile;Cyclohexane;331.824632;0.163;0.128307742;0.128632551;L1;23.93185883
6;Acetonitrile;Cyclohexane;334.78404;0.168746819;0.137303868;0.137744854;L1;20.62029943
6;Acetonitrile;Cyclohexane;336.4357096;0.184518426;0.142544602;0.142830504;L1;25.80943796
6;Acetonitrile;Cyclohexane;339.9670032;0.218802588;0.154305355;0.154678252;L1;34.92364338
6;Acetonitrile;Cyclohexane;341.12;0.2283;0.158316229;0.158786059;L1;36.60660735
6;Acetonitrile;Cyclohexane;341.68249;0.233069362;0.160304539;0.160790054;L1;37.42607246
6;Acetonitrile;Cyclohexane;344.38168;0.265666513;0.170142952;0.170406517;L1;44.56028333
6;Acetonitrile;Cyclohexane;345.901224;0.287862986;0.17590545;0.175987952;L1;49.2537987
6;Acetonitrile;Cyclohexane;347.14;0.3504;0.180727315;0.181068099;L1;66.20860081
6;Acetonitrile;Cyclohexane;347.3337941;0.324727361;0.181491956;0.181862837;L1;58.17746084
